S17Nm,SectorBeta,Members,SectorBetaScore
鉄鋼・非鉄,1.1186688063602255,10,1.019465771239832
電機・精密,1.0748693081349585,37,0.9014503253513866
機械,0.9796118308000801,15,0.6447840593575223
銀行,0.9341228643693154,9,0.5222164301869598
金融（除く銀行）,0.8889838210496251,10,0.40059165044740563
商社・卸売,0.8176642506709547,7,0.20842481658272718
自動車・輸送機,0.8051921972186453,14,0.1748195240803187
エネルギー資源,0.7374100630473214,3,-0.00781587384952758
素材・化学,0.7100358284088716,19,-0.08157431030686414
情報通信・サービスその他,0.6445198519965855,25,-0.25810366526309186
建設・資材,0.6210845978661288,16,-0.3212487257724698
不動産,0.5950860880116298,5,-0.3913003441068519
医薬品,0.4869223051558315,9,-0.6827419719779259
電気・ガス,0.4651315318829975,5,-0.741456065249524
小売,0.4012610182375831,10,-0.9135518072651091
運輸・物流,0.34757679273339126,16,-1.0582011312703372
食品,0.24126209904466384,11,-1.3446604855679327
